JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise
B1	Banque SG (Tarneaud)	B10007329	20231229	5121100	Banque SOCIETE GENERALE			19	20231229	Reglt OPTIMA TT N� 2303002	0,00	15138,00			20231229	0
B1	Banque SG (Tarneaud)	B10007329	20231229	4010000	Fournisseurs	OPTIMA	OPTIMA TT	19	20231229	Reglt OPTIMA TT N� 2303002	15138,00	0,00	102	20240103	20231229	0
B1	Banque SG (Tarneaud)	B10007330	20231229	5121100	Banque SOCIETE GENERALE			19	20231229	Frais Vir (OPTIMA TT) du 29.12.23	0,00	0,21			20231229	0
B1	Banque SG (Tarneaud)	B10007330	20231229	6274000	Frais s/virement bancaire Tarneaud / SG			19	20231229	Frais Vir (OPTIMA TT) du 29.12.23	0,21	0,00			20231229	0
B1	Banque SG (Tarneaud)	B10007331	20231229	5121100	Banque SOCIETE GENERALE			20	20231229	Reglt OPTIMA TT N� 2307001	0,00	13626,00			20231229	0
B1	Banque SG (Tarneaud)	B10007331	20231229	4010000	Fournisseurs	OPTIMA	OPTIMA TT	20	20231229	Reglt OPTIMA TT N� 2307001	13626,00	0,00	107	20240103	20231229	0
B1	Banque SG (Tarneaud)	B10007332	20231229	5121100	Banque SOCIETE GENERALE			20	20231229	Frais Vir (OPTIMA TT) du 29.12.23	0,00	0,21			20231229	0
B1	Banque SG (Tarneaud)	B10007332	20231229	6274000	Frais s/virement bancaire Tarneaud / SG			20	20231229	Frais Vir (OPTIMA TT) du 29.12.23	0,21	0,00			20231229	0
B1	Banque SG (Tarneaud)	B10007333	20231229	5121100	Banque SOCIETE GENERALE			21	20231229	Reglt OPTIMA TT N� 2307002	0,00	16056,30			20231229	0
B1	Banque SG (Tarneaud)	B10007333	20231229	4010000	Fournisseurs	OPTIMA	OPTIMA TT	21	20231229	Reglt OPTIMA TT N� 2307002	16056,30	0,00	105	20240103	20231229	0
